"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.BLUETOOTH_SCAN","dangerous","required for discovering and pairing Bluetooth devices.","Required to be able to discover and pair nearby Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        a/a/a/c/a/a/a/e.java                                                                                                                                                                                                    a/g/a/a/as.java                                                                                                                                                                                                    a/g/a/a/bf.java                                                                                                                                                                                                    a/i/DunasysKit/BluetoothScanner.java                                                                                                                                                                                                    c/b/a/c.java                                                                                                                                                                                                    c/b/a/r.java"
"android.permission.CALL_PHONE","dangerous","directly call phone numbers","Allows the application to call phone numbers without your intervention. Malicious applications may cause unexpected calls on your phone bill. Note that this does not allow the application to call emergency numbers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/fragment/serviceandmaintenance/ServiceAndMaintenanceRecallDetailFragment.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/PhoneUtils.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/journeyapps/barcodescanner/camera/CameraManager.java"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","normal","allow Wi-Fi Multicast reception","Allows an application to receive packets not directly addressed to your device. This can be useful when discovering services offered nearby. It uses more power than the non-multicast mode.",""
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/journeyapps/barcodescanner/camera/CameraInstance.java                                                                                                                                                                                                    com/salesforce/marketingcloud/c.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/audioplayer/repository/player/AudioPlayerController.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/audioplayer/service/AudioPlayerService.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/magicbutton/service/MagicButtonForegroundService.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/pimswrapper/service/PimsSteeringWheelControlForegroundService.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/extensions/ServiceExtensionsKt.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/ForegroundServiceLauncher.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java"
"android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE","normal","enables foreground services with connected device use.","Allows a regular application to use Service.startForeground with the type ""connectedDevice"".",""
"android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK","normal","enables foreground services for media playback.","Allows a regular application to use Service.startForeground with the type ""mediaPlayback"".",""
"android.permission.GET_ACCOUNTS","dangerous","list accounts","Allows access to the list of accounts in the Accounts Service.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    a/a/a/c/a/a/a/e.java                                                                                                                                                                                                    a/a/a/c/a/a/c/a.java                                                                                                                                                                                                    a/a/a/c/c/a.java                                                                                                                                                                                                    a/a/a/colon/Colon.java                                                                                                                                                                                                    a/a/a/colon/common/a$a$a.java                                                                                                                                                                                                    a/a/b/d/f/c.java                                                                                                                                                                                                    a/a/c/a/extensions/e$a$a.java                                                                                                                                                                                                    a/a/c/a/networkManager/InternetConnectivityChecker.java                                                                                                                                                                                                    a/a/c/a/tools/a/b.java                                                                                                                                                                                                    a/c/a/myuconnect/connect/MyConnectionHandler.java                                                                                                                                                                                                    a/c/a/myuconnect/connect/e$q$b$a$a$a$a$a$a.java                                                                                                                                                                                                    a/c/a/myuconnect/l/c$g$a$b$a.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/ai.java                                                                                                                                                                                                    a/d/a/b/e/b.java                                                                                                                                                                                                    a/g/a/a/al.java                                                                                                                                                                                                    a/g/a/a/y.java                                                                                                                                                                                                    b/a/a/a.java                                                                                                                                                                                                    b/a/a/c/b.java                                                                                                                                                                                                    b/a/a/r.java                                                                                                                                                                                                    c/a/client/engine/okhttp/OkHttpEngine.java                                                                                                                                                                                                    c/a/client/engine/okhttp/b.java                                                                                                                                                                                                    c/a/d/sockets/SocketImpl.java                                                                                                                                                                                                    c/a/d/sockets/t.java                                                                                                                                                                                                    c/a/http/content/URIFileContent.java                                                                                                                                                                                                    c/b/a/k.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AssuranceBlob.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AssuranceExtension.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/HttpConnection.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/HttpConnectionHandler.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/NetworkService.java                                                                                                                                                                                                    com/airbnb/lottie/network/DefaultLottieFetchResult.java                                                                                                                                                                                                    com/airbnb/lottie/network/DefaultLottieNetworkFetcher.java                                                                                                                                                                                                    com/amazonaws/DefaultRequest.java                                                                                                                                                                                                    com/amazonaws/Request.java                                                                                                                                                                                                    com/amazonaws/auth/AWS3Signer.java                                                                                                                                                                                                    com/amazonaws/auth/AWS4Signer.java                                                                                                                                                                                                    com/amazonaws/http/AmazonHttpClient.java                                                                                                                                                                                                    com/amazonaws/http/HttpRequest.java                                                                                                                                                                                                    com/amazonaws/http/UrlHttpClient.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotMqttManager.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotProxiedSSLSocket.java                                                                                                                                                                                                    com/amazonaws/util/ClassLoaderHelper.java                                                                                                                                                                                                    com/amazonaws/util/HttpUtils.java                                                                                                                                                                                                    com/amazonaws/util/XpathUtils.java                                                                                                                                                                                                    com/bumptech/glide/load/data/HttpUrlFetcher.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/CompositeTrustManager.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/application/FcaApplication.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/PinActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/ShareActivity$a$a.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/base/MyBaseActivity.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/workers/DownloadWorker.java                                                                                                                                                                                                    com/gigya/android/sdk/network/adapter/HttpNetworkProvider.java                                                                                                                                                                                                    com/inetpsa/cd2/careasyapps/devices/DeviceFactory.java                                                                                                                                                                                                    com/salesforce/marketingcloud/http/b.java                                                                                                                                                                                                    com/salesforce/marketingcloud/media/q.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/b.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/network/WeatherNetworkProvider.java                                                                                                                                                                                                    com/xtn/seapsdk/NetworkManager.java                                                                                                                                                                                                    com/xtn/seapsdk/v.java                                                                                                                                                                                                    java/time/zone/TzdbZoneRulesProvider.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/conscrypt/AbstractConscryptSocket.java                                                                                                                                                                                                    org/conscrypt/ConscryptEngineSocket.java                                                                                                                                                                                                    org/conscrypt/ConscryptFileDescriptorSocket.java                                                                                                                                                                                                    org/conscrypt/KitKatPlatformOpenSSLSocketImplAdapter.java                                                                                                                                                                                                    org/conscrypt/OpenSSLSocketImpl.java                                                                                                                                                                                                    org/conscrypt/PreKitKatPlatformOpenSSLSocketImplAdapter.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttAndroidClient.java                                                                                                                                                                                                    org/eclipse/paho/android/service/MqttService.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/MqttConnectOptions.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/SSLNetworkModule.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/TCPNetworkModule.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/TCPNetworkModuleFactory.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketNetworkModuleFactory.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketReceiver.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/websocket/WebSocketSecureNetworkModule.java                                                                                                                                                                                                    org/jsoup/Connection.java                                                                                                                                                                                                    org/jsoup/Jsoup.java                                                                                                                                                                                                    org/jsoup/helper/HttpConnection.java"
"android.permission.LOCAL_MAC_ADDRESS","unknown","Unknown permission","Unknown permission from android reference",""
"android.permission.MANAGE_ACCOUNTS","dangerous","manage the accounts list","Allows an application to perform operations like adding and removing accounts and deleting their password.",""
"android.permission.MOUNT_UNMOUNT_FILESYSTEMS","dangerous","mount and unmount file systems","Allows the application to mount and unmount file systems for removable storage.",""
"android.permission.NFC","normal","control Near-Field Communication","Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/stellantis/smartphonestation/scope/repository/NfcRepository.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/nfc/NTAG215Toolkit$connect$2.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/nfc/NTAG215Toolkit$disconnect$2.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/nfc/NTAG215Toolkit$transceive$result$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/nfc/NTAG215Toolkit$use$2.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/repository/nfc/NTAG215Toolkit.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                        com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/bumptech/glide/request/target/NotificationTarget.java                                                                                                                                                                                                    com/gigya/android/sdk/push/GigyaNotificationManager.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/NotificationManager.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/a.java                                                                                                                                                                                                    com/salesforce/marketingcloud/notifications/b.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/audioplayer/service/notification/SpsMediaNotificationProvider.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/managers/SpsNotificationManager.java"
"android.permission.QUERY_ALL_PACKAGES","normal","enables querying any normal app on the device.","Allows query of any normal app on the device, regardless of manifest declarations.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            b/a/a/b/c.java"
"android.permission.READ_CALENDAR","dangerous","read calendar events","Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/bumptech/glide/load/data/mediastore/ThumbFetcher.java                                                                                                                                                                                                    com/bumptech/glide/load/data/mediastore/ThumbnailStreamOpener.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/calendar/repository/CalendarRepository$getInstances$2.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/calendar/repository/CalendarRepository$getReminders$2.java                                                                                                                                                                                                    com/stellantis/smartphonestation/repository/helper/ContactsCursorHelper$query$2.java                                                                                                                                                                                                    com/stellantis/smartphonestation/repository/helper/ContactsCursorHelper.java                                                                                                                                                                                                    com/stellantis/smartphonestation/scope/base/utils/ContentResolverUtils$visitItems$2.java                                                                                                                                                                                                    net/sqlcipher/AbstractCursor.java                                                                                                                                                                                                    net/sqlcipher/database/SqliteWrapper.java"
"android.permission.READ_CONTACTS","dangerous","read contact data","Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            a/c/a/myuconnect/adapters/SendAndGoContactsAdapter.java                                                                                                                                                                                                    a/c/a/myuconnect/fragment/SendGoContactMultipleAddressesFragment.java                                                                                                                                                                                                    com/bumptech/glide/load/data/StreamLocalUriFetcher.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/data/SendAndGoContactsListActivity.java                                                                                                                                                                                                    com/stellantis/smartphonestation/repository/helper/ContactsCursorHelper.java"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        a/a/a/c/a/c/c.java                                                                                                                                                                                                    a/a/a/c/c/c.java                                                                                                                                                                                                    a/a/a/c/c/d.java                                                                                                                                                                                                    a/a/c/a/data/DataManager.java                                                                                                                                                                                                    a/a/c/a/monitoring/logger/i$a$a.java                                                                                                                                                                                                    a/c/a/myuconnect/r/a.java                                                                                                                                                                                                    a/c/a/myuconnect/security/a.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/p.java                                                                                                                                                                                                    a/c/a/myuconnect/utils/z.java                                                                                                                                                                                                    c/a/http/cio/CIOMultipartDataBase.java                                                                                                                                                                                                    c/b/a/k.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidCompressedFileService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidFullscreenMessage.java                                                                                                                                                                                                    com/adobe/marketing/mobile/ConfigurationExtension.java                                                                                                                                                                                                    com/adobe/marketing/mobile/FileUtil.java                                                                                                                                                                                                    com/airbnb/lottie/network/NetworkCache.java                                                                                                                                                                                                    com/airbnb/lottie/network/NetworkFetcher.java                                                                                                                                                                                                    com/amazonaws/auth/PropertiesCredentials.java                                                                                                                                                                                                    com/amazonaws/internal/ResettableInputStream.java                                                                                                                                                                                                    com/amazonaws/mobileconnectors/iot/AWSIotKeystoreHelper.java                                                                                                                                                                                                    com/amazonaws/regions/RegionUtils.java                                                                                                                                                                                                    com/amazonaws/util/Md5Utils.java                                                                                                                                                                                                    com/bumptech/glide/disklrucache/DiskLruCache.java                                                                                                                                                                                                    com/bumptech/glide/load/ImageHeaderParserUtils.java                                                                                                                                                                                                    com/bumptech/glide/load/model/FileLoader.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/MemorizingTrustManager.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/config/DirectoryCertificateSource.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/conscrypt/CertPinManager.java                                                                                                                                                                                                    com/commonsware/cwac/netsecurity/conscrypt/TrustedCertificateStore.java                                                                                                                                                                                                    com/fcagroup/global/myuconnect/utils/StringUtils.java                                                                                                                                                                                                    com/gigya/android/sdk/GigyaLogger.java                                                                                                                                                                                                    com/inetpsa/pims/core/v2/tools/AssetsUtils.java                                                                                                                                                                                                    com/salesforce/marketingcloud/storage/f.java                                                                                                                                                                                                    com/salesforce/marketingcloud/tozny/AesCbcWithIntegrity.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/e.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/f.java                                                                                                                                                                                                    com/salesforce/marketingcloud/util/g.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/audioplayer/repository/utils/M3uParser.java                                                                                                                                                                                                    com/stellantis/smartphonestation/feature/radiotuner/repository/RadioTunerLogosFetcherRepository$fetchMccInfo$2$1.java                                                                                                                                                                                                    com/stellantis/smartphonestation/repository/GlobalStartupRepository.java                                                                                                                                                                                                    java/time/chrono/HijrahDate.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/conscrypt/DefaultSSLContextImpl.java                                                                                                                                                                                                    org/conscrypt/FileClientSessionCache.java                                                                                                                                                                                                    org/conscrypt/KeyManagerFactoryImpl.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/internal/security/SSLSocketFactoryFactory.java                                                                                                                                                                                                    org/eclipse/paho/client/mqttv3/persist/MqttDefaultFilePersistence.java                                                                                                                                                                                                    org/joda/time/tz/ZoneInfoCompiler.java                                                                                                                                                                                                    org/joda/time/tz/ZoneInfoProvider.java                                                                                                                                                                                                    org/jsoup/helper/DataUtil.java"
"android.permission.READ_LOGS","dangerous","read sensitive log data","Allows an application to read from the system's various log files. This allows it to discover general information about what you are doing with the phone, potentially including personal or private information.",""
"android.permission.READ_MEDIA_AUDIO","dangerous","allows reading audio files from external storage.","Allows an application to read audio files from external storage.",""
"android.permission.READ_PHONE_STATE","dangerous","read phone state and identity","Allows the application to access the phone features of the device. An application with this permission can determine the phone number and serial number of this phone, whether a call is active, the number that call is connected to and so on.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/stellantis/smartphonestation/scope/base/utils/PhoneUtils$getCallStateFlow$1.java"
