"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/verint/xm/sdk/common/events/c.java                                                                                                                                                                                                    com/verint/xm/sdk/common/utils/BroadcastIntentDispatcher.java                                                                                                                                                                                                    com/verint/xm/sdk/common/utils/a.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/services/NotificationBroadcastReceiver.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/services/NotificationReceiver.java                                                                                                                                                                                                    io/invertase/firebase/messaging/ReactNativeFirebaseMessagingReceiver.java                                                                                                                                                                                                    net/time4j/android/ApplicationStarter.java"
"android.permission.SYSTEM_ALERT_WINDOW","dangerous","display system-level alerts","Allows an application to show system-alert windows. Malicious applications can take over the entire screen of the phone.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/learnium/RNDeviceInfo/resolver/DeviceTypeResolver.java                                                                                                                                                                                                    com/swmansion/rnscreens/Screen.java                                                                                                                                                                                                    com/swmansion/rnscreens/ScreenModalFragment.java                                                                                                                                                                                                    com/swmansion/rnscreens/bottomsheet/SheetDelegate.java"
"android.permission.USE_BIOMETRIC","normal","allows use of device-supported biometric modalities.","Allows an app to use device supported biometric modalities.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/oblador/keychain/decryptionHandler/DecryptionResultHandlerInteractiveBiometric.java                                                                                                                                                                                                    com/oblador/keychain/decryptionHandler/DecryptionResultHandlerInteractiveBiometricManualRetry.java                                                                                                                                                                                                    com/rnbiometrics/CreateSignatureCallback.java                                                                                                                                                                                                    com/rnbiometrics/ReactNativeBiometrics.java                                                                                                                                                                                                    com/rnbiometrics/SimplePromptCallback.java"
"android.permission.USE_FINGERPRINT","normal","allow use of fingerprint","This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead.",""
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/geolocation/PlayServicesLocationManager.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/TrackingContext.java                                                                                                                                                                                                    com/verint/xm/sdk/predictive/tracker/services/NotificationServiceImpl.java"
"android.permission.WRITE_CALENDAR","dangerous","add or modify calendar events and send emails to guests","Allows an application to add or change the events on your calendar, which may send emails to guests. Malicious applications can use this to erase or modify your calendar events or to send emails to guests.","Show Files                                                                                                                                                                                                                                                                                                                            com/calendarevents/RNCalendarEvents.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/marketing/mobile/internal/util/FileUtils.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/AsyncStorageExpoMigration.java                                                                                                                                                                                                    com/rnfs/Downloader.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java"
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                io/invertase/firebase/messaging/ReactNativeFirebaseMessagingHeadlessService.java                                                                                                                                                                                                    io/invertase/firebase/messaging/ReactNativeFirebaseMessagingModule.java                                                                                                                                                                                                    io/invertase/firebase/messaging/ReactNativeFirebaseMessagingReceiver.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.","Show Files                                                                                                                                                                                                                                                        com/learnium/RNDeviceInfo/RNInstallReferrerClient.java"
"com.google.android.gms.permission.AD_ID","normal","application shows advertisements","This app uses a Google advertising ID and can possibly serve advertisements.",""
"com.subaru.telematics.app.remote.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
"com.subaru.telematics.app.remote.verint.xm.sdk.RECEIVE_DELETE_ACTION_BROADCAST","unknown","Unknown permission","Unknown permission from android reference",""
