"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.READ_CONTACTS","dangerous","read contact data","Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/bumptech/glide/load/data/n.java                                                                                                                                                                                                    expo/modules/contacts/Contact.java                                                                                                                                                                                                    expo/modules/contacts/ContactsModule.java                                                                                                                                                                                                    expo/modules/contacts/models/BaseModel.java                                                                                                                                                                                                    expo/modules/contacts/models/PostalAddressModel.java                                                                                                                                                                                                    yf/e.java"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    af/c.java                                                                                                                                                                                                    ar/c.java                                                                                                                                                                                                    atd/a/getSDKTransactionID.java                                                                                                                                                                                                    atd/an/getSDKEphemeralPublicKey.java                                                                                                                                                                                                    atd/aw/BuildConfig.java                                                                                                                                                                                                    atd/w/protocolError.java                                                                                                                                                                                                    bj/a.java                                                                                                                                                                                                    br/c.java                                                                                                                                                                                                    ch/qos/logback/core/joran/GenericConfigurator.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/PropertyAction.java                                                                                                                                                                                                    ch/qos/logback/core/rolling/helper/Compressor.java                                                                                                                                                                                                    ch/qos/logback/core/util/FileUtil.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/a.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/c.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/e.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/h.java                                                                                                                                                                                                    com/airbnb/android/react/lottie/h.java                                                                                                                                                                                                    com/bumptech/glide/load/a.java                                                                                                                                                                                                    com/fourthline/adapters/serialization/BitmapDeserializer.java                                                                                                                                                                                                    com/fourthline/kyc/internal/c.java                                                                                                                                                                                                    com/fourthline/orca/internal/AD.java                                                                                                                                                                                                    com/fourthline/orca/internal/OrcaStyling.java                                                                                                                                                                                                    com/fourthline/orca/internal/Py.java                                                                                                                                                                                                    com/fourthline/orca/internal/ZA.java                                                                                                                                                                                                    com/fourthline/orca/internal/Zd.java                                                                                                                                                                                                    com/plaid/internal/k1.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/h.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/rnfs/i.java                                                                                                                                                                                                    com/rnmaps/maps/a.java                                                                                                                                                                                                    com/rnmaps/maps/k.java                                                                                                                                                                                                    com/rnmaps/maps/p.java                                                                                                                                                                                                    com/tencent/mm/opensdk/openapi/WXAPiSecurityHelper.java                                                                                                                                                                                                    com/tesla/dashcam_viewer/u0.java                                                                                                                                                                                                    dq/d.java                                                                                                                                                                                                    e0/z.java                                                                                                                                                                                                    expo/modules/asset/AssetModule.java                                                                                                                                                                                                    expo/modules/core/logging/PersistentFileLog.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule$definition$lambda$48$$inlined$AsyncFunction$6.java                                                                                                                                                                                                    expo/modules/filesystem/FileSystemModule.java                                                                                                                                                                                                    expo/modules/medialibrary/MediaLibraryUtils.java                                                                                                                                                                                                    expo/modules/medialibrary/assets/CreateAsset.java                                                                                                                                                                                                    expo/modules/videothumbnails/VideoThumbnailsModule.java                                                                                                                                                                                                    ezvcard/property/BinaryProperty.java                                                                                                                                                                                                    ezvcard/util/e.java                                                                                                                                                                                                    g60/b.java                                                                                                                                                                                                    h90/d.java                                                                                                                                                                                                    hc/b.java                                                                                                                                                                                                    he/g.java                                                                                                                                                                                                    hq/e.java                                                                                                                                                                                                    i90/a.java                                                                                                                                                                                                    io/sentry/android/core/AnrV2Integration.java                                                                                                                                                                                                    io/sentry/android/core/SentryPerformanceProvider.java                                                                                                                                                                                                    io/sentry/android/core/internal/util/n.java                                                                                                                                                                                                    io/sentry/android/replay/g.java                                                                                                                                                                                                    io/sentry/cache/b.java                                                                                                                                                                                                    io/sentry/cache/c.java                                                                                                                                                                                                    io/sentry/cache/e.java                                                                                                                                                                                                    io/sentry/config/e.java                                                                                                                                                                                                    io/sentry/p2.java                                                                                                                                                                                                    io/sentry/r2.java                                                                                                                                                                                                    io/sentry/util/e.java                                                                                                                                                                                                    io/sentry/w.java                                                                                                                                                                                                    jf/b.java                                                                                                                                                                                                    jq/a.java                                                                                                                                                                                                    lc/b.java                                                                                                                                                                                                    mb/q.java                                                                                                                                                                                                    mg0/j.java                                                                                                                                                                                                    okio/j0.java                                                                                                                                                                                                    org/godotengine/godot/Godot.java                                                                                                                                                                                                    qk/i.java                                                                                                                                                                                                    qt/a.java                                                                                                                                                                                                    sa0/m.java                                                                                                                                                                                                    ta0/b.java                                                                                                                                                                                                    tb/g.java                                                                                                                                                                                                    tb/h.java                                                                                                                                                                                                    td/d.java                                                                                                                                                                                                    td/n.java                                                                                                                                                                                                    td/o.java                                                                                                                                                                                                    v6/b.java                                                                                                                                                                                                    w90/i.java                                                                                                                                                                                                    yd/b.java                                                                                                                                                                                                    zi/a.java"
"android.permission.READ_MEDIA_AUDIO","dangerous","allows reading audio files from external storage.","Allows an application to read audio files from external storage.",""
"android.permission.READ_MEDIA_IMAGES","dangerous","allows reading image files from external storage.","Allows an application to read image files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ch/qos/logback/core/android/AndroidContextUtil.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/c.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/e.java                                                                                                                                                                                                    com/alipay/apmobilesecuritysdk/a/a.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/tesla/dashcam_viewer/u0.java                                                                                                                                                                                                    expo/modules/medialibrary/MediaLibraryUtils.java                                                                                                                                                                                                    lc/b.java                                                                                                                                                                                                    lf/a.java                                                                                                                                                                                                    nc/c.java                                                                                                                                                                                                    org/godotengine/godot/Godot.java                                                                                                                                                                                                    qv/a.java                                                                                                                                                                                                    vf/a.java                                                                                                                                                                                                    wo/d.java                                                                                                                                                                                                    xd/a.java"
"android.permission.READ_MEDIA_VIDEO","dangerous","allows reading video files from external storage.","Allows an application to read video files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ch/qos/logback/core/android/AndroidContextUtil.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/c.java                                                                                                                                                                                                    com/ReactNativeBlobUtil/e.java                                                                                                                                                                                                    com/alipay/apmobilesecuritysdk/a/a.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    com/tesla/dashcam_viewer/u0.java                                                                                                                                                                                                    expo/modules/medialibrary/MediaLibraryUtils.java                                                                                                                                                                                                    lc/b.java                                                                                                                                                                                                    lf/a.java                                                                                                                                                                                                    nc/c.java                                                                                                                                                                                                    org/godotengine/godot/Godot.java                                                                                                                                                                                                    qv/a.java                                                                                                                                                                                                    vf/a.java                                                                                                                                                                                                    wo/d.java                                                                                                                                                                                                    xd/a.java"
"android.permission.READ_MEDIA_VIDEOS","unknown","Unknown permission","Unknown permission from android reference",""
"android.permission.READ_MEDIA_VISUAL_USER_SELECTED","dangerous","allows reading user-selected image or video files from external storage.","Allows an application to read image or video files from external storage that a user has selected via the permission prompt photo picker. Apps can check this permission to verify that a user has decided to use the photo picker, instead of granting access to READ_MEDIA_IMAGES or READ_MEDIA_VIDEO . It does not prevent apps from accessing the standard photo picker manually. This permission should be requested alongside READ_MEDIA_IMAGES and/or READ_MEDIA_VIDEO , depending on which type of media is desired.",""
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                            com/ReactNativeBlobUtil/g.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/reactnativecommunity/netinfo/a.java                                                                                                                                                                                                    com/tesla/command/CommandRequestBroadcastReceiver.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEBootReceiver.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/BLEService.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/b.java                                                                                                                                                                                                    com/teslamotors/plugins/ble/g.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/InCallManagerModule.java                                                                                                                                                                                                    community/revteltech/nfc/NfcManager.java                                                                                                                                                                                                    expo/modules/battery/BatteryLevelReceiver.java                                                                                                                                                                                                    expo/modules/battery/BatteryModule.java                                                                                                                                                                                                    expo/modules/battery/BatteryStateReceiver.java                                                                                                                                                                                                    expo/modules/battery/PowerSaverReceiver.java                                                                                                                                                                                                    io/nlopez/smartlocation/activity/providers/ActivityGooglePlayServicesProvider.java                                                                                                                                                                                                    io/nlopez/smartlocation/geocoding/providers/AndroidGeocodingProvider.java                                                                                                                                                                                                    io/nlopez/smartlocation/geofencing/providers/GeofencingGooglePlayServicesProvider.java                                                                                                                                                                                                    io/sentry/android/core/SystemEventsBreadcrumbsIntegration.java                                                                                                                                                                                                    io/sentry/android/core/p0.java                                                                                                                                                                                                    m7/e.java                                                                                                                                                                                                    net/time4j/android/ApplicationStarter.java                                                                                                                                                                                                    o60/c.java                                                                                                                                                                                                    org/godotengine/godot/GodotDownloaderAlarmReceiver.java                                                                                                                                                                                                    org/webrtc/NetworkMonitorAutoDetect.java                                                                                                                                                                                                    qn/b0.java                                                                                                                                                                                                    v7/r.java                                                                                                                                                                                                    wb0/e.java                                                                                                                                                                                                    zc/e.java                                                                                                                                                                                                    zc/f.java"
"android.permission.RECORD_AUDIO","dangerous","record audio","Allows application to access the audio record path.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/fourthline/vision/internal/C4023g.java                                                                                                                                                                                                    d1/a.java                                                                                                                                                                                                    d90/m.java                                                                                                                                                                                                    org/webrtc/CameraVideoCapturer.java                                                                                                                                                                                                    org/webrtc/audio/WebRtcAudioRecord.java"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","normal","permission for using Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.","Permission an application must hold in order to use Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.",""
"android.permission.SYSTEM_ALERT_WINDOW","dangerous","display system-level alerts","Allows an application to show system-alert windows. Malicious applications can take over the entire screen of the phone.","Show Files                                                                                                                                                                                                                                                        ca/jaysoo/extradimensions/ExtraDimensionsModule.java                                                                                                                                                                                                    com/fourthline/core/internal/devicedata/AndroidDataCollectorHelper.java                                                                                                                                                                                                    com/fourthline/vision/internal/C4150y.java                                                                                                                                                                                                    com/oney/WebRTCModule/g.java                                                                                                                                                                                                    com/rnmaps/maps/MapCircleManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapGradientPolylineManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapLocalTileManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapOverlayManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapPolygonManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapPolylineManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapUrlTileManager.java                                                                                                                                                                                                    com/rnmaps/maps/MapWMSTileManager.java                                                                                                                                                                                                    com/swmansion/reanimated/sensor/ReanimatedSensor.java                                                                                                                                                                                                    com/swmansion/rnscreens/l.java                                                                                                                                                                                                    com/tesla/TeslaV4/reactnative/module/ScreenUtilsNativeModule.java                                                                                                                                                                                                    com/tesla/module/ScreenUtilsNativeModule.java                                                                                                                                                                                                    com/zxcpoiu/incallmanager/InCallManagerModule.java                                                                                                                                                                                                    expo/modules/sensors/modules/DeviceMotionModule.java                                                                                                                                                                                                    io/sentry/android/replay/ScreenshotRecorderConfig.java                                                                                                                                                                                                    mw/l.java                                                                                                                                                                                                    org/webrtc/CameraSession.java                                                                                                                                                                                                    qn/t0.java                                                                                                                                                                                                    rn/o.java                                                                                                                                                                                                    s60/s.java                                                                                                                                                                                                    se/d.java                                                                                                                                                                                                    se/k.java                                                                                                                                                                                                    sn/l.java                                                                                                                                                                                                    st/b.java                                                                                                                                                                                                    td/n.java"
