"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.GET_PACKAGE_SIZE","normal","measure application storage space","Allows an application to find out the space used by any package.",""
"android.permission.INSTALL_PACKAGES","SignatureOrSystem","directly install applications","Allows an application to install new or updated Android packages. Malicious applications can use this to add new applications with arbitrarily powerful permissions.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                        A2/a.java                                                                                                                                                                                                    C0/a.java                                                                                                                                                                                                    D/d.java                                                                                                                                                                                                    H/f.java                                                                                                                                                                                                    U0/c.java                                                                                                                                                                                                    Z1/a.java                                                                                                                                                                                                    Z1/d.java                                                                                                                                                                                                    c4/a.java                                                                                                                                                                                                    c4/f.java                                                                                                                                                                                                    com/mbridge/msdk/click/h.java                                                                                                                                                                                                    com/mbridge/msdk/click/l.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/download/download/DownLoadUtils.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/same/net/e.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/same/report/l.java                                                                                                                                                                                                    com/mbridge/msdk/newreward/player/redirect/UrlReDirectController.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/scheduler/RequirementsWatcher.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/upstream/DefaultHttpDataSource.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/OkHttpClient.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/Request.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/internal/connection/RealConnection.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/internal/connection/StreamAllocation.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/internal/platform/AndroidPlatform.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/internal/platform/Platform.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okhttp/internal/ws/RealWebSocket.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okio/Okio.java                                                                                                                                                                                                    com/mbridge/msdk/tracker/network/toolbox/h.java                                                                                                                                                                                                    com/uptodown/workers/DownloadApkWorker.java                                                                                                                                                                                                    com/uptodown/workers/DownloadUpdatesWorker.java                                                                                                                                                                                                    com/uptodown/workers/DownloadWorker.java                                                                                                                                                                                                    e1/C1809e.java                                                                                                                                                                                                    e4/M.java                                                                                                                                                                                                    h4/c.java                                                                                                                                                                                                    n4/c.java                                                                                                                                                                                                    n4/e.java                                                                                                                                                                                                    n4/g.java                                                                                                                                                                                                    r2/C2564a.java                                                                                                                                                                                                    z2/L.java                                                                                                                                                                                                    z2/Z.java"
"android.permission.MANAGE_ACCOUNTS","dangerous","manage the accounts list","Allows an application to perform operations like adding and removing accounts and deleting their password.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/uptodown/activities/g0.java                                                                                                                                                                                                    z2/C2994x.java"
"android.permission.MANAGE_EXTERNAL_STORAGE","dangerous","Allows an application a broad access to external storage in scoped storage","Allows an application a broad access to external storage in scoped storage. Intended to be used by few apps that need to manage files on behalf of the users.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            T1/AbstractActivityC0849t.java                                                                                                                                                                                                    com/uptodown/tv/ui/fragment/TvAppDetailFragment.java"
"android.permission.PACKAGE_USAGE_STATS","signature","update component usage statistics","Allows the modification of collected component usage statistics. Not for use by common applications.",""
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    K/C0418g.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/util/NotificationUtil.java                                                                                                                                                                                                    com/uptodown/UptodownApp.java                                                                                                                                                                                                    z2/M.java"
"android.permission.QUERY_ALL_PACKAGES","normal","enables querying any normal app on the device.","Allows query of any normal app on the device, regardless of manifest declarations.",""
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        A1/e.java                                                                                                                                                                                                    J/AbstractC0405b.java                                                                                                                                                                                                    K1/a.java                                                                                                                                                                                                    M/I.java                                                                                                                                                                                                    Z/g.java                                                                                                                                                                                                    com/mbridge/msdk/click/a/a.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/same/broadcast/NetWorkChangeReceiver.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/tools/MIMManager.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/tools/v.java                                                                                                                                                                                                    com/mbridge/msdk/mbsignalcommon/mraid/d.java                                                                                                                                                                                                    com/mbridge/msdk/out/LoadingActivity.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/audio/AudioCapabilitiesReceiver.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/scheduler/RequirementsWatcher.java                                                                                                                                                                                                    com/mbridge/msdk/videocommon/download/NetStateOnReceive.java                                                                                                                                                                                                    com/uptodown/receivers/BootDeviceReceiver.java                                                                                                                                                                                                    com/uptodown/receivers/DownloadNotificationReceiver.java                                                                                                                                                                                                    com/uptodown/receivers/DownloadUpdateNotificationReceiver.java                                                                                                                                                                                                    com/uptodown/receivers/MyAppUpdatedReceiver.java                                                                                                                                                                                                    m2/C2415a.java                                                                                                                                                                                                    m2/C2416b.java                                                                                                                                                                                                    m2/C2417c.java                                                                                                                                                                                                    o0/f.java                                                                                                                                                                                                    org/matomo/sdk/extra/InstallReferrerReceiver.java                                                                                                                                                                                                    x1/C2882j.java"
"android.permission.RECORD_AUDIO","dangerous","record audio","Allows application to access the audio record path.",""
"android.permission.REQUEST_DELETE_PACKAGES","normal","enables an app to request package deletions.","Allows an application to request deleting packages.",""
"android.permission.REQUEST_INSTALL_PACKAGES","dangerous","Allows an application to request installing packages.","Malicious applications can use this to try and trick users into installing additional malicious packages.",""
"android.permission.UPDATE_PACKAGES_WITHOUT_USER_ACTION","normal","allows updating packages without requiring user action.","Allows an application to indicate via PackageInstaller.SessionParams.setRequireUserAction(int) that user action should not be required for an app update.",""
"android.permission.USE_CREDENTIALS","dangerous","use the authentication credentials of an account","Allows an application to request authentication tokens.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        z2/C2994x.java"
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/uptodown/UptodownApp.java                                                                                                                                                                                                    com/uptodown/activities/Updates.java                                                                                                                                                                                                    com/uptodown/workers/DownloadApkWorker.java                                                                                                                                                                                                    com/uptodown/workers/GenerateQueueWorker.java                                                                                                                                                                                                    com/uptodown/workers/InstallUpdatesWorker.java                                                                                                                                                                                                    com/uptodown/workers/SendUserUsageStatsWorker.java                                                                                                                                                                                                    com/uptodown/workers/UploadFileWorker.java                                                                                                                                                                                                    j0/C2259a.java"
"android.permission.WRITE_EXTERNAL_STORAGE","dangerous","read/modify/delete external storage contents","Allows an application to write to external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            D0/e.java                                                                                                                                                                                                    S1/k.java                                                                                                                                                                                                    T0/c.java                                                                                                                                                                                                    W1/a.java                                                                                                                                                                                                    W1/b.java                                                                                                                                                                                                    Z1/d.java                                                                                                                                                                                                    b2/C1146K.java                                                                                                                                                                                                    b2/C1147L.java                                                                                                                                                                                                    b2/C1159l.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/download/resource/stream/FileDownloadRandomAccessDownloadFile.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/download/utils/UnzipUtility.java                                                                                                                                                                                                    com/mbridge/msdk/foundation/tools/ad.java                                                                                                                                                                                                    com/mbridge/msdk/mbbanner/common/c/b.java                                                                                                                                                                                                    com/mbridge/msdk/newreward/function/c/c/w.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/upstream/cache/CacheDataSink.java                                                                                                                                                                                                    com/mbridge/msdk/playercommon/exoplayer2/util/AtomicFile.java                                                                                                                                                                                                    com/mbridge/msdk/reward/adapter/c.java                                                                                                                                                                                                    com/mbridge/msdk/thrid/okio/Okio.java                                                                                                                                                                                                    com/uptodown/core/activities/InstallerActivity.java                                                                                                                                                                                                    com/uptodown/workers/DownloadWorker.java                                                                                                                                                                                                    com/uptodown/workers/InstallUpdatesWorker.java                                                                                                                                                                                                    e4/M.java                                                                                                                                                                                                    x0/M.java                                                                                                                                                                                                    z0/C2963g.java"
"com.google.android.c2dm.permission.RECEIVE","normal","recieve push notifications","Allows an application to receive push notifications from cloud.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        J/AbstractC0405b.java                                                                                                                                                                                                    J/C0406c.java"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","normal","permission defined by google","A custom permission defined by Google.",""
"com.google.android.gms.permission.AD_ID","normal","application shows advertisements","This app uses a Google advertising ID and can possibly serve advertisements.",""
"com.uptodown.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION","unknown","Unknown permission","Unknown permission from android reference",""
